Session;Instrument;Reference price;Last price;+Intraday high;+ Intraday low;Number of shares traded;Capitalisation
06/08/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
05/08/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
02/08/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
01/08/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
31/07/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
29/07/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
26/07/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
25/07/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
24/07/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
23/07/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
22/07/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
19/07/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
